GEO_ID|GEO_ID2|SUMLEVEL|GEO_NAME|P053001|P152B001|P152D001|P152H001|P152I001
Geography Identifier|Geography Identifier|Geographic Summary Level|Geography|Households: Median household income in 1999|Households with a householder who is Black or African American alone: Median household income in 1999|Households with a householder who is Asian alone: Median household income in 1999|Households with a householder who is Hispanic or Latino: Median household income in 1999|Households with a householder who is White alone; not Hispanic or Latino: Median household income in 1999
86000US00601|00601|860|00601 5-Digit ZCTA, 006 3-Digit ZCTA|9888|7250||9874|11250
86000US00602|00602|860|00602 5-Digit ZCTA, 006 3-Digit ZCTA|11384|11716|30250|11403|6944
86000US00603|00603|860|00603 5-Digit ZCTA, 006 3-Digit ZCTA|10748|11514|13750|10719|15833
86000US00604|00604|860|00604 5-Digit ZCTA, 006 3-Digit ZCTA|31199|25278|73125|29523|45962
86000US00606|00606|860|00606 5-Digit ZCTA, 006 3-Digit ZCTA|9243|4185||9197|31250
86000US00610|00610|860|00610 5-Digit ZCTA, 006 3-Digit ZCTA|12629|10388|41250|12591|19500
86000US00612|00612|860|00612 5-Digit ZCTA, 006 3-Digit ZCTA|13000|13042|7500|12964|18125
86000US00616|00616|860|00616 5-Digit ZCTA, 006 3-Digit ZCTA|10476|8698||10452|32734
86000US00617|00617|860|00617 5-Digit ZCTA, 006 3-Digit ZCTA|11511|11099|25179|11500|33958
86000US00622|00622|860|00622 5-Digit ZCTA, 006 3-Digit ZCTA|13634|22656||13481|31500
86000US00623|00623|860|00623 5-Digit ZCTA, 006 3-Digit ZCTA|13565|10870|27292|13544|14750
86000US00624|00624|860|00624 5-Digit ZCTA, 006 3-Digit ZCTA|12194|14224||12189|11875
86000US00627|00627|860|00627 5-Digit ZCTA, 006 3-Digit ZCTA|13168|13281|12917|13207|10000
86000US00631|00631|860|00631 5-Digit ZCTA, 006 3-Digit ZCTA|8345||23750|8345|
86000US00637|00637|860|00637 5-Digit ZCTA, 006 3-Digit ZCTA|12485|12619|11250|12485|14464
86000US00638|00638|860|00638 5-Digit ZCTA, 006 3-Digit ZCTA|10986|9254||10956|19583
86000US00641|00641|860|00641 5-Digit ZCTA, 006 3-Digit ZCTA|9901|8750|8750|9898|20536
86000US00646|00646|860|00646 5-Digit ZCTA, 006 3-Digit ZCTA|16378|14189|18214|16095|45714
86000US00647|00647|860|00647 5-Digit ZCTA, 006 3-Digit ZCTA|9607|8173||9582|177361
86000US00650|00650|860|00650 5-Digit ZCTA, 006 3-Digit ZCTA|11544|15815|7361|11555|2614
86000US00652|00652|860|00652 5-Digit ZCTA, 006 3-Digit ZCTA|12097|36500||11962|46250
